,Instructor,Course,Quarter,TotalEnrolledinCourse,Total CAPEsGiven,PercentageRecommendedClass,PercentageRecommendedProfessor,StudyHoursperWeek,AverageGradeExpected,AverageGradeReceived,EvalulationURL,GradedCourse,AverageGradeExpected1,AverageGradeReceived1,CourseID,CourseName,CourseSection
0,Rampure Suraj,DSC 10 - Principles of Data Science (A),SP23,117,92,97.8,98.9,8.32,3.55,3.21,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127644,1,B+,B,DSC 10,Principles of Data Science,A
1,Rampure Suraj,DSC 10 - Principles of Data Science (B),SP23,117,80,82.3,96.2,8.78,3.42,3.14,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127651,1,B+,B,DSC 10,Principles of Data Science,B
2,Salimi Babak,DSC 100 - Intro to Data Management (A),SP23,99,81,87.7,80.0,5.33,3.86,3.77,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127734,1,A-,A-,DSC 100,Intro to Data Management,A
3,Albuyeh Rod,DSC 102 - Systems for Scalable Analytics (A),SP23,112,77,93.5,92.2,6.74,3.73,3.53,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127736,1,A-,B+,DSC 102,Systems for Scalable Analytics,A
4,Gupta Amarnath,DSC 104 - Beyond Relational Data Mgmt (A),SP23,18,6,100.0,80.0,6.1,4.0,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127738,1,A,,DSC 104,Beyond Relational Data Mgmt,A
5,Liao Soohyun Nam,DSC 106 - Intro to Data Visualization (A),SP23,100,46,71.7,68.9,8.09,3.75,3.85,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127740,1,A-,A-,DSC 106,Intro to Data Visualization,A
6,Wilber Jared Dane,DSC 106 - Intro to Data Visualization (B),SP23,74,31,86.2,96.3,8.57,3.67,4.0,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=194591,1,B+,A,DSC 106,Intro to Data Visualization,B
7,Ustun Tevfik Berk,DSC 140A - Probabilistic Modeling and ML (A),SP23,46,19,57.9,52.6,8.85,3.12,3.2,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127742,1,B,B,DSC 140A,Probabilistic Modeling and ML,A
8,Eldridge Justin Matthew,DSC 140B - Representation Learning (A),SP23,75,25,91.3,95.7,5.8,3.39,3.38,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127746,1,B+,B+,DSC 140B,Representation Learning,A
9,Hu Zhiting,DSC 140B - Representation Learning (B),SP23,71,17,100.0,50.0,6.37,3.63,3.43,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127748,1,B+,B+,DSC 140B,Representation Learning,B
10,Silberman Jack,DSC 178 - IntroRobotPerceptionNavigation (A),SP23,18,7,66.7,83.3,8.83,4.0,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127750,1,A,,DSC 178,IntroRobotPerceptionNavigation,A
11,Smarr Benjamin,DSC 190 - Topics in Data Science (B),SP23,7,3,100.0,100.0,4.5,3.67,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127752,1,B+,,DSC 190,Topics in Data Science,B
12,Langlois Marina,DSC 20 - Prgrmng/DataStruc for Data Sci (A),SP23,135,59,98.1,96.3,8.72,3.47,2.86,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127662,1,B+,B-,DSC 20,Prgrmng/DataStruc for Data Sci,A
13,Langlois Marina,DSC 30 - DataStrc/Algrthms for Data Sci (A),SP23,97,49,81.3,87.5,13.36,3.0,2.54,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127667,1,B,C+,DSC 30,DataStrc/Algrthms for Data Sci,A
14,Langlois Marina,DSC 30 - DataStrc/Algrthms for Data Sci (B),SP23,96,35,86.7,93.3,11.37,3.47,3.11,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127669,1,B+,B,DSC 30,DataStrc/Algrthms for Data Sci,B
15,Liao Soohyun Nam,DSC 30 - DataStrc/Algrthms for Data Sci (C),SP23,30,21,90.5,85.7,10.31,3.33,3.08,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127673,1,B+,B,DSC 30,DataStrc/Algrthms for Data Sci,C
16,Wang Yusu,DSC 40B - Theor Fndtns of Data Sci II (A),SP23,73,32,100.0,96.7,5.7,3.65,3.32,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127719,1,B+,B+,DSC 40B,Theor Fndtns of Data Sci II,A
17,Rahman Tauhidur,DSC 80 - Practice of Data Science (A),SP23,130,106,90.6,70.5,11.69,3.39,3.36,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127730,1,B+,B+,DSC 80,Practice of Data Science,A
18,Rampure Suraj,DSC 95 - Tutor Appshp in Data Science (A),SP23,18,15,100.0,93.3,2.79,4.0,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=127732,1,A,,DSC 95,Tutor Appshp in Data Science,A
19,Tiefenbruck Janine LoBue,DSC 10 - Principles of Data Science (A),WI23,103,71,84.5,90.1,9.46,3.3,2.98,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102527,1,B+,B-,DSC 10,Principles of Data Science,A
20,Tiefenbruck Janine LoBue,DSC 10 - Principles of Data Science (B),WI23,106,74,89.0,91.8,8.82,3.36,3.14,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102530,1,B+,B,DSC 10,Principles of Data Science,B
21,Tiefenbruck Janine LoBue,DSC 10 - Principles of Data Science (D),WI23,92,53,88.5,90.4,7.96,3.42,2.76,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149454,1,B+,B-,DSC 10,Principles of Data Science,D
22,Salimi Babak,DSC 100 - Intro to Data Management (A),WI23,119,98,95.9,81.4,5.66,3.86,3.85,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102550,1,A-,A-,DSC 100,Intro to Data Management,A
23,Kolovos Alexandros,DSC 102 - Systems for Scalable Analytics (A),WI23,160,48,80.4,91.3,7.79,3.56,3.88,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102552,1,B+,A-,DSC 102,Systems for Scalable Analytics,A
24,Liao Soohyun Nam,DSC 106 - Intro to Data Visualization (A),WI23,145,92,57.1,40.7,9.44,3.69,3.7,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102554,1,B+,B+,DSC 106,Intro to Data Visualization,A
25,Eldridge Justin Matthew,DSC 140A - Probabilistic Modeling and ML (A),WI23,115,37,97.2,97.2,7.01,3.49,3.42,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102556,1,B+,B+,DSC 140A,Probabilistic Modeling and ML,A
26,Aoi Mikio C,DSC 140A - Probabilistic Modeling and ML (B),WI23,118,38,88.9,91.7,7.41,3.41,3.36,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102558,1,B+,B+,DSC 140A,Probabilistic Modeling and ML,B
27,Shang Jingbo,DSC 148 - Introduction to Data Mining (A),WI23,63,40,94.9,89.5,6.86,3.9,3.82,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102560,1,A-,A-,DSC 148,Introduction to Data Mining,A
28,Zaslavsky Ilya,DSC 170 - Spatial Data Science and Appl (A),WI23,34,6,83.3,83.3,12.17,3.5,3.97,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102562,1,B+,A-,DSC 170,Spatial Data Science and Appl,A
29,Rampure Suraj,DSC 180B - Data Science Project II (A),WI23,110,26,95.8,100.0,8.24,4.0,3.95,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102564,1,A,A-,DSC 180B,Data Science Project II,A
30,Rampure Suraj,DSC 180B - Data Science Project II (B),WI23,91,19,94.7,100.0,9.24,3.89,3.89,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102616,1,A-,A-,DSC 180B,Data Science Project II,B
31,Smarr Benjamin,DSC 190 - Topics in Data Science (B),WI23,13,13,100.0,100.0,2.96,3.92,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=121432,1,A-,,DSC 190,Topics in Data Science,B
32,Langlois Marina,DSC 20 - Prgrmng/DataStruc for Data Sci (A),WI23,142,78,93.2,93.2,11.13,3.49,3.17,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102533,1,B+,B,DSC 20,Prgrmng/DataStruc for Data Sci,A
33,Langlois Marina,DSC 20 - Prgrmng/DataStruc for Data Sci (B),WI23,134,69,75.4,83.1,10.41,3.37,2.91,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102535,1,B+,B-,DSC 20,Prgrmng/DataStruc for Data Sci,B
34,Liao Soohyun Nam,DSC 30 - DataStrc/Algrthms for Data Sci (A),WI23,106,95,75.8,63.2,12.27,3.15,3.26,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102537,1,B,B,DSC 30,DataStrc/Algrthms for Data Sci,A
35,Mishne Gal,DSC 40A - Theor Fndtns of Data Sci I (A),WI23,92,86,79.8,84.5,8.03,3.15,3.05,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102539,1,B,B,DSC 40A,Theor Fndtns of Data Sci I,A
36,Roy Abhishek,DSC 40A - Theor Fndtns of Data Sci I (B),WI23,36,31,76.7,73.3,9.5,3.4,3.16,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102541,1,B+,B,DSC 40A,Theor Fndtns of Data Sci I,B
37,Eldridge Justin Matthew,DSC 40B - Theor Fndtns of Data Sci II (A),WI23,120,63,96.7,100.0,6.32,3.57,3.34,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102543,1,B+,B+,DSC 40B,Theor Fndtns of Data Sci II,A
38,Wang Yusu,DSC 40B - Theor Fndtns of Data Sci II (B),WI23,42,25,92.0,84.0,5.3,3.83,3.32,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=111331,1,A-,B+,DSC 40B,Theor Fndtns of Data Sci II,B
39,Rampure Suraj,DSC 80 - Practice of Data Science (A),WI23,124,100,98.0,98.0,12.9,3.49,3.57,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102545,1,B+,B+,DSC 80,Practice of Data Science,A
40,Langlois Marina,DSC 95 - Tutor Appshp in Data Science (A),WI23,18,9,100.0,100.0,2.06,4.0,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102547,1,A,,DSC 95,Tutor Appshp in Data Science,A
41,Quer Giorgio,DSC 96 - Workshop in Data Science (A),WI23,13,8,100.0,100.0,3.5,4.0,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=102548,1,A,,DSC 96,Workshop in Data Science,A
42,Tiefenbruck Janine LoBue,DSC 10 - Principles of Data Science (A),FA22,116,99,95.9,94.9,8.03,3.56,3.52,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=088092,1,B+,B+,DSC 10,Principles of Data Science,A
43,Tiefenbruck Janine LoBue,DSC 10 - Principles of Data Science (B),FA22,116,97,96.9,95.9,7.57,3.53,3.38,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=088095,1,B+,B+,DSC 10,Principles of Data Science,B
44,Rampure Suraj,DSC 10 - Principles of Data Science (C),FA22,108,93,95.7,93.4,9.27,3.53,3.31,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=088098,1,B+,B+,DSC 10,Principles of Data Science,C
45,Tabaghi Puoya,DSC 10 - Principles of Data Science (D),FA22,53,44,93.0,72.1,8.17,3.83,3.52,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=107366,1,A-,B+,DSC 10,Principles of Data Science,D
46,Salimi Babak,DSC 100 - Intro to Data Management (A),FA22,174,127,86.4,62.1,6.45,3.71,3.69,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=088120,1,A-,B+,DSC 100,Intro to Data Management,A
47,Kumar Arun Kumar,DSC 102 - Systems for Scalable Analytics (A),FA22,86,24,95.7,87.0,9.95,3.43,3.39,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=094320,1,B+,B+,DSC 102,Systems for Scalable Analytics,A
48,Rampure Suraj,DSC 180A - Data Science Project I (A),FA22,112,23,81.8,100.0,8.02,3.95,3.88,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=088124,1,A-,A-,DSC 180A,Data Science Project I,A
49,Rampure Suraj,DSC 180A - Data Science Project I (B),FA22,92,19,89.5,94.4,6.94,3.61,3.9,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=088141,1,B+,A-,DSC 180A,Data Science Project I,B
50,Mishne Gal,DSC 190 - Topics in Data Science (A),FA22,17,5,75.0,75.0,9.5,4.0,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=088158,1,A,,DSC 190,Topics in Data Science,A
51,Silberman Jack,DSC 190 - Topics in Data Science (B),FA22,17,4,25.0,50.0,8.5,3.75,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=088160,1,A-,,DSC 190,Topics in Data Science,B
52,Kolovos Alexandros,DSC 190 - Topics in Data Science (C),FA22,43,10,100.0,87.5,4.28,3.89,3.93,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=096408,1,A-,A-,DSC 190,Topics in Data Science,C
53,Langlois Marina,DSC 20 - Prgrmng/DataStruc for Data Sci (A),FA22,140,64,84.1,81.0,11.92,3.41,3.1,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=088101,1,B+,B,DSC 20,Prgrmng/DataStruc for Data Sci,A
54,Langlois Marina,DSC 30 - DataStrc/Algrthms for Data Sci (A),FA22,90,38,85.3,82.4,11.87,3.26,2.84,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=088105,1,B,B-,DSC 30,DataStrc/Algrthms for Data Sci,A
55,Hy Truong Son,DSC 40A - Theor Fndtns of Data Sci I (A),FA22,108,100,84.0,60.6,7.8,3.34,3.2,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=088107,1,B+,B,DSC 40A,Theor Fndtns of Data Sci I,A
