,CourseNum,TotalEnrolledinCourse,TotalCAPEsGiven,PercentageRecommendedClass,PercentageRecommendedProfessor,StudyHoursperWeek,AverageGradeExpected,AverageGradeReceived,dept
0,AAPI 87,10.0,3.0,100.0,100.0,0.5,4.0,0.0,AAPI
1,AAS 10,59.45454545454545,34.45454545454545,86.47272727272728,85.17272727272727,3.933636363636363,3.6709090909090913,3.6763636363636363,AAS
2,AAS 11,65.0,46.0,93.5,93.3,4.15,3.84,3.71,AAS
3,AAS 170,25.5,8.0,94.45,94.45,3.0549999999999997,3.875,3.8,AAS
4,AAS 190,28.75,10.5,100.0,100.0,2.0975,3.965,4.0,AAS
5,AAS 87,11.666666666666666,7.0,91.66666666666667,91.66666666666667,1.0,4.0,0.0,AAS
6,AIP 197DC,23.0,4.5,50.0,50.0,6.7,4.0,0.0,AIP
7,AIP 197T,24.0,7.0,93.97333333333333,91.90666666666667,5.452,3.95875,0.0,AIP
8,AIP 97,5.0,3.0,100.0,100.0,1.5,0.0,0.0,AIP
9,ANAR 100,15.588235294117647,6.823529411764706,95.85882352941177,93.11176470588236,6.008235294117647,3.6917647058823526,3.72,ANAR
10,ANAR 103,6.0,3.0,100.0,100.0,9.5,4.0,0.0,ANAR
11,ANAR 104,15.0,7.166666666666667,96.96666666666665,94.81666666666666,5.19,3.715,0.0,ANAR
12,ANAR 105,15.0,6.0,100.0,100.0,3.7,3.4,0.0,ANAR
13,ANAR 111,27.22222222222222,14.333333333333334,89.03333333333333,90.80000000000001,4.137777777777778,3.4944444444444445,3.3116666666666665,ANAR
14,ANAR 113,19.0,11.0,100.0,100.0,4.14,3.64,0.0,ANAR
15,ANAR 114,20.0,9.0,55.6,66.7,4.72,3.0,3.76,ANAR
16,ANAR 115,18.5,4.5,100.0,91.65,6.665,3.75,3.07,ANAR
17,ANAR 116,20.0,7.5,100.0,100.0,3.3,3.8625,3.4850000000000003,ANAR
18,ANAR 117,16.0,7.0,100.0,100.0,2.4633333333333334,3.953333333333333,0.0,ANAR
19,ANAR 119S,13.0,12.0,93.75,93.75,9.1775,3.9375,0.0,ANAR
20,ANAR 120,14.333333333333334,3.3333333333333335,100.0,100.0,5.833333333333333,3.723333333333333,0.0,ANAR
21,ANAR 121,15.25,6.5,100.0,100.0,5.2725,3.6999999999999997,0.0,ANAR
22,ANAR 124,17.0,10.5,85.45,85.45,4.3,3.5,0.0,ANAR
23,ANAR 125,49.0,21.0,90.0,95.0,3.4,3.83,3.59,ANAR
24,ANAR 135,23.0,15.0,100.0,92.9,4.885,3.935,3.995,ANAR
25,ANAR 135S,21.5,6.0,100.0,100.0,4.3,3.815,4.0,ANAR
26,ANAR 138,12.5,7.0,90.0,90.0,3.27,3.385,0.0,ANAR
27,ANAR 141,18.0,14.0,100.0,92.9,6.36,3.62,0.0,ANAR
28,ANAR 142,53.0,29.0,96.6,96.6,3.88,3.46,3.33,ANAR
29,ANAR 143,30.22222222222222,13.777777777777779,75.72222222222223,78.55555555555556,4.191111111111111,3.5933333333333337,3.487142857142857,ANAR
30,ANAR 144,31.8,21.6,94.42,96.1,4.392,3.3579999999999997,2.985,ANAR
31,ANAR 146,52.666666666666664,17.666666666666668,98.33333333333333,100.0,5.236666666666667,3.8000000000000003,3.5700000000000003,ANAR
32,ANAR 153,54.5,35.166666666666664,86.96666666666665,86.41666666666667,4.575,3.236666666666667,2.9916666666666667,ANAR
33,ANAR 154,41.8,27.0,92.88,94.7,3.7939999999999996,3.3939999999999997,3.0620000000000003,ANAR
34,ANAR 155,21.666666666666668,11.666666666666666,93.33333333333333,93.33333333333333,4.233333333333333,3.98,3.99,ANAR
35,ANAR 155S,15.8,8.4,95.0,85.0,8.386,3.928,4.0,ANAR
36,ANAR 156,43.0,16.75,85.925,93.6,4.37625,3.4575,3.4442857142857144,ANAR
37,ANAR 157S,11.0,5.0,100.0,100.0,10.5,4.0,0.0,ANAR
38,ANAR 158,49.5,26.5,92.5,93.275,3.76,3.415,3.4675000000000002,ANAR
39,ANAR 158GS,10.0,4.0,100.0,100.0,4.0,3.75,0.0,ANAR
40,ANAR 159,21.5,8.5,100.0,100.0,5.725,3.35,3.25,ANAR
41,ANAR 159GS,10.0,3.0,100.0,100.0,3.5,4.0,0.0,ANAR
42,ANAR 160,7.5,4.0,87.5,100.0,6.0,4.0,0.0,ANAR
43,ANAR 164,28.5,12.666666666666666,98.71666666666665,97.43333333333334,4.773333333333333,3.4899999999999998,3.3819999999999997,ANAR
44,ANAR 165,13.0,6.0,100.0,100.0,4.83,3.5,0.0,ANAR
45,ANAR 166,26.0,10.5,100.0,100.0,5.125,3.885,3.54,ANAR
46,ANAR 167,6.0,4.0,100.0,100.0,8.5,4.0,0.0,ANAR
47,ANAR 180,10.5,4.5,91.675,87.5,5.025,3.95,0.0,ANAR
48,ANAR 181,11.0,10.0,100.0,100.0,4.72,3.5,0.0,ANAR
49,ANAR 182,21.333333333333332,12.0,95.06666666666666,96.66666666666667,4.826666666666667,3.796666666666667,3.31,ANAR
50,ANAR 184,21.333333333333332,7.666666666666667,100.0,100.0,4.943333333333333,3.59,3.69,ANAR
51,ANBI 100,37.15384615384615,19.692307692307693,96.55384615384615,97.28461538461539,4.1753846153846155,3.6938461538461533,3.6781818181818187,ANBI
52,ANBI 103,69.0,67.0,97.0,96.9,3.13,3.5,2.93,ANBI
53,ANBI 109,12.75,7.5,98.075,94.95,2.27,4.0,0.0,ANBI
54,ANBI 111,37.916666666666664,21.583333333333332,93.03333333333335,92.075,4.850833333333333,3.464166666666667,3.188181818181818,ANBI
55,ANBI 112,9.666666666666666,4.833333333333333,92.5,95.83333333333333,4.355,3.8249999999999997,0.0,ANBI
56,ANBI 116,55.0,27.0,96.375,97.425,3.8375,3.45875,3.242857142857143,ANBI
57,ANBI 118,19.0,9.5,84.15,87.5,2.385,3.71,3.77,ANBI
58,ANBI 120,10.5,4.5,100.0,91.65,5.5,3.835,0.0,ANBI
59,ANBI 121,24.5,17.5,97.9,100.0,3.09,3.795,3.87,ANBI
60,ANBI 130,43.333333333333336,26.0,86.86666666666667,92.33333333333333,4.4366666666666665,3.356666666666667,3.185,ANBI
